Day,Exercise,Sets x Reps,RPE
Day 1 – Squat Day,Back Squat,4x5,7–8
Day 1 – Squat Day,Walking Lunges,3x8/leg,8
Day 1 – Squat Day,Leg Press,3x10,8
Day 1 – Squat Day,Hip Thrusts,3x10,8
Day 1 – Squat Day,Standing Calf Raise,3x15–20,8
Day 2 – Bench Day,Barbell Bench Press,4x5,7–8
Day 2 – Bench Day,Incline Dumbbell Press,3x8,8
Day 2 – Bench Day,Weighted Dips,3x8–10,8
Day 2 – Bench Day,Tricep Pushdown,3x12–15,8
Day 2 – Bench Day,Lateral Raises,3x15,7
Day 3 – RDL Day,Romanian Deadlift,4x8,7–8
Day 3 – RDL Day,Bulgarian Split Squat,3x8/leg,8
Day 3 – RDL Day,Barbell Hip Thrust,3x6–10,8–9
Day 3 – RDL Day,Leg Curl,3x12–15,8
Day 3 – RDL Day,Seated Calf Raise,3x15–20,8
Day 4 – Bench + Pull,Close-Grip Bench Press,4x6–8,7–8
Day 4 – Bench + Pull,Lat Pulldown,4x10,8
Day 4 – Bench + Pull,Dumbbell Row,3x8–10,8
Day 4 – Bench + Pull,Barbell or DB Curls,3x10–12,8
Day 4 – Bench + Pull,Face Pulls,3x15,7–8
